"game_id","Off_abbrev","Def_abbrev","fga","fgm","xpa","xpm","fga_0_39","fgm_0_39","fga_40_49","fgm_40_49","fga_50","fgm_50","player","Total_DKP","Total_FDP","Total_SDP","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date"
"202209250min","MIN","DET",2,0,4,4,0,0,0,0,2,0,"Greg Joseph",4,4,4,"DET","MIN",24,28,"False","dome","sportturf",72,45,0,-6,"MIN",52.5,2022-09-25
"202209250nwe","BAL","NWE",1,1,5,4,0,0,0,0,1,1,"Justin Tucker",9,9,9,"BAL","NWE",37,26,"False","outdoors","fieldturf ",72,45,0,-2.5,"BAL",44,2022-09-25
"202209250nwe","NWE","BAL",2,2,2,2,0,0,0,0,0,0,"Nick Folk",2,2,2,"BAL","NWE",37,26,"False","outdoors","fieldturf ",72,45,0,-2.5,"BAL",44,2022-09-25
"202209250nyj","NYJ","CIN",4,4,0,0,0,0,2,2,2,2,"Greg Zuerlein",18,18,18,"CIN","NYJ",27,12,"False","outdoors","fieldturf ",72,45,0,-6,"CIN",45,2022-09-25
"202209250nyj","CIN","NYJ",3,2,3,3,1,1,2,1,0,0,"Evan McPherson",10,10,10,"CIN","NYJ",27,12,"False","outdoors","fieldturf ",72,45,0,-6,"CIN",45,2022-09-25
"202209250oti","LVR","TEN",3,3,1,1,0,0,0,0,0,0,"Daniel Carlson",1,1,1,"LVR","TEN",22,24,"False","outdoors","grass ",72,45,0,-2,"LVR",45.5,2022-09-25
"202209250oti","TEN","LVR",1,1,3,3,0,0,0,0,0,0,"Randy Bullock",3,3,3,"LVR","TEN",22,24,"False","outdoors","grass ",72,45,0,-2,"LVR",45.5,2022-09-25
"202209250sdg","LAC","JAX",1,1,1,1,1,1,0,0,0,0,"Dustin Hopkins",4,4,4,"JAX","LAC",38,10,"False","dome","matrixturf",72,45,0,-3,"LAC",42.5,2022-09-25
"202209250sdg","JAX","LAC",3,3,3,3,3,3,0,0,0,0,"Riley Patterson",12,12,12,"JAX","LAC",38,10,"False","dome","matrixturf",72,45,0,-3,"LAC",42.5,2022-09-25
"202209250sea","ATL","SEA",2,2,3,3,0,0,1,1,1,1,"Younghoe Koo",12,12,12,"ATL","SEA",27,23,"False","outdoors","fieldturf ",72,45,0,-1,"SEA",42,2022-09-25
"202209250sea","SEA","ATL",3,3,2,2,3,3,0,0,0,0,"Jason Myers",11,11,11,"ATL","SEA",27,23,"False","outdoors","fieldturf ",72,45,0,-1,"SEA",42,2022-09-25
"202209250tam","0","0",0,0,2,2,0,0,0,0,0,0,"Mason Crosby",2,2,2,"GNB","TAM",14,12,"False","outdoors","grass ",72,45,0,-1,"TAM",42,2022-09-25
"202209250tam","TAM","GNB",2,2,0,0,0,0,2,2,0,0,"Ryan Succop",8,8,8,"GNB","TAM",14,12,"False","outdoors","grass ",72,45,0,-1,"TAM",42,2022-09-25
"202209250was","0","0",0,1,3,3,1,1,0,0,0,0,"Jake Elliott",6,6,6,"PHI","ERROR - abbrev_team",24,8,"False","outdoors","grass ",72,45,0,-6,"PHI",47.5,2022-09-25
"202209260nyg","NYG","DAL",4,3,1,1,0,0,2,1,2,2,"Graham Gano",15,15,15,"DAL","NYG",23,16,"False","outdoors","fieldturf ",72,45,0,-1,"NYG",39,2022-09-26
"202209260nyg","DAL","NYG",4,3,2,2,2,2,1,1,1,0,"Brett Maher",12,12,12,"DAL","NYG",23,16,"False","outdoors","fieldturf ",72,45,0,-1,"NYG",39,2022-09-26
"202209290cin","CIN","MIA",2,2,3,3,1,1,0,0,1,1,"Evan McPherson",11,11,11,"MIA","CIN",15,27,"False","outdoors","fieldturf ",72,45,0,-3.5,"CIN",48,2022-09-29
"202209290cin","MIA","CIN",4,3,1,0,2,2,1,1,1,0,"Jason Sanders",10,10,10,"MIA","CIN",15,27,"False","outdoors","fieldturf ",72,45,0,-3.5,"CIN",48,2022-09-29
"202210020atl","ATL","CLE",3,3,2,2,2,2,1,1,0,0,"Younghoe Koo",12,12,12,"CLE","ATL",20,23,"False","retractable roof (open)","fieldturf",72,45,0,-1,"CLE",48,2022-10-02
"202210020atl","CLE","ATL",2,2,2,2,1,1,1,1,0,0,"Cade York",9,9,9,"CLE","ATL",20,23,"False","retractable roof (open)","fieldturf",72,45,0,-1,"CLE",48,2022-10-02
"202210020car","ARI","CAR",2,2,2,2,2,2,0,0,0,0,"Matt Prater",8,8,8,"ARI","CAR",26,16,"False","outdoors","grass ",72,45,0,-1,"CAR",43.5,2022-10-02
"202210020car","CAR","ARI",1,1,1,1,0,0,0,0,0,0,"Eddy Pineiro",1,1,1,"ARI","CAR",26,16,"False","outdoors","grass ",72,45,0,-1,"CAR",43.5,2022-10-02
"202210020clt","IND","TEN",2,1,2,2,0,0,0,0,0,0,"Chase McLaughlin",2,2,2,"TEN","IND",24,17,"False","retractable roof (open)","fieldturf ",72,45,0,-3.5,"IND",43,2022-10-02
"202210020clt","TEN","IND",1,1,3,3,0,0,0,0,0,0,"Randy Bullock",3,3,3,"TEN","IND",24,17,"False","retractable roof (open)","fieldturf ",72,45,0,-3.5,"IND",43,2022-10-02
"202210020dal","DAL","ERROR - abbrev_team",4,4,2,1,2,2,1,1,1,1,"Brett Maher",16,16,16,"ERROR - abbrev_team","DAL",10,25,"False","retractable roof (closed)","matrixturf",72,45,0,-3,"DAL",41,2022-10-02
"202210020dal","ERROR - abbrev_team","DAL",1,1,1,1,0,0,1,1,0,0,"Joey Slye",5,5,5,"ERROR - abbrev_team","DAL",10,25,"False","retractable roof (closed)","matrixturf",72,45,0,-3,"DAL",41,2022-10-02
